model,method,forget_split,L2,FRAG_pct,cosF_pct,cosR_pct
LLaMA-3.2-1B,GA,forget01,0.360604,-0.002382,2.443297,2.445678
LLaMA-3.2-1B,GA,forget05,0.935959,0.002656,0.927547,0.924891
LLaMA-3.2-1B,GA,forget10,1.310731,0.005266,1.101753,1.096487
LLaMA-3.2-1B,GradDiff,forget01,0.314390,0.003317,2.169404,2.166087
LLaMA-3.2-1B,GradDiff,forget05,0.613534,0.003391,0.757260,0.753870
LLaMA-3.2-1B,GradDiff,forget10,0.773508,0.002567,0.553180,0.550613
LLaMA-3.2-1B,NPO,forget01,0.352888,-0.002216,2.444710,2.446926
LLaMA-3.2-1B,NPO,forget05,0.818935,0.002701,0.942670,0.939969
LLaMA-3.2-1B,NPO,forget10,1.065533,0.000600,0.874081,0.873481
LLaMA-3.2-1B,RMU,forget01,0.284073,0.003159,2.098851,2.095692
LLaMA-3.2-1B,RMU,forget05,0.748809,0.005886,0.847646,0.841760
LLaMA-3.2-1B,RMU,forget10,1.264134,0.002006,0.671489,0.669483
LLaMA-3.2-1B,SP,forget01,121.745235,0.688848,11.607907,10.919059
LLaMA-3.2-1B,SP,forget05,119.761390,0.221758,10.995856,10.774098
LLaMA-3.2-1B,SP,forget10,120.072793,0.269399,11.132747,10.863348
LLaMA-3.2-1B,FRP,forget01,111.778076,5.238435,17.550153,12.311718
LLaMA-3.2-1B,FRP,forget05,111.549688,2.155675,15.696133,13.540458
LLaMA-3.2-1B,FRP,forget10,111.336973,2.083014,15.729939,13.646925
LLaMA-3.2-1B,FRP-RV(p=0.15),forget01,85.665125,5.326970,15.452192,10.125221
LLaMA-3.2-1B,FRP-RV(p=0.15),forget05,79.670263,1.907034,12.535426,10.628392
LLaMA-3.2-1B,FRP-RV(p=0.15),forget10,78.817899,1.824963,12.473134,10.648172
