model,method,ES,U,retain_ES,retain_dES,retain_U,forget_ES,forget_dES,forget_U,forget_retain_ES,forget_retain_dES,forget_retain_U,avg_ES,avg_dES,avg_U
LLaMA-3.2-1B,GA,0.086,0.199,0.284,0.198,0.598,0.153,0.067,0.359,0.401,0.315,0.598,0.279,0.193,0.518
LLaMA-3.2-1B,GradDiff,0.123,0.498,0.256,0.134,0.602,0.264,0.142,0.591,0.441,0.318,0.600,0.320,0.198,0.598
LLaMA-3.2-1B,NPO,0.126,0.487,0.215,0.089,0.603,0.197,0.071,0.547,0.331,0.205,0.600,0.248,0.122,0.583
LLaMA-3.2-1B,RMU,0.105,0.561,0.412,0.307,0.602,0.420,0.315,0.579,0.742,0.637,0.601,0.525,0.420,0.594
LLaMA-3.2-1B,SP,0.124,0.486,0.171,0.047,0.521,0.200,0.076,0.497,0.237,0.113,0.520,0.203,0.078,0.513
LLaMA-3.2-1B,FRP,0.055,0.384,0.079,0.024,0.464,0.071,0.015,0.407,0.104,0.049,0.463,0.085,0.029,0.444
LLaMA-3.2-1B,FRP-RV(p=0.15),0.099,0.494,0.133,0.034,0.526,0.138,0.039,0.498,0.201,0.102,0.526,0.157,0.058,0.517
LLaMA-3.2-3B,GA,0.120,0.384,0.331,0.211,0.671,0.222,0.102,0.548,0.497,0.376,0.673,0.350,0.229,0.630
LLaMA-3.2-3B,GradDiff,0.195,0.584,0.379,0.184,0.658,0.454,0.259,0.654,0.553,0.358,0.660,0.462,0.267,0.657
LLaMA-3.2-3B,NPO,0.082,0.663,0.108,0.026,0.665,0.175,0.093,0.649,0.281,0.198,0.664,0.188,0.106,0.660
LLaMA-3.2-3B,RMU,0.054,0.664,0.122,0.068,0.664,0.139,0.085,0.663,0.755,0.700,0.664,0.339,0.285,0.664
LLaMA-3.2-3B,SP,0.187,0.589,0.299,0.112,0.613,0.431,0.244,0.597,0.444,0.257,0.618,0.391,0.204,0.610
LLaMA-3.2-3B,FRP,0.068,0.499,0.096,0.028,0.569,0.107,0.039,0.522,0.147,0.079,0.570,0.117,0.049,0.553
LLaMA-3.2-3B,FRP-RV(p=0.05),0.093,0.555,0.127,0.034,0.598,0.132,0.039,0.561,0.195,0.102,0.600,0.151,0.058,0.587
