model,method,forget_split,stage,ES,dES,U
LLaMA-3.2-1B,GA,forget01,pure,0.1868,,0.5944
LLaMA-3.2-1B,GA,forget01,retain,0.1848,-0.0020,0.6009
LLaMA-3.2-1B,GA,forget01,forget,0.3091,+0.1223,0.5910
LLaMA-3.2-1B,GA,forget01,forget_retain,0.2985,+0.1118,0.5996
LLaMA-3.2-1B,GA,forget05,pure,0.0394,,0.0022
LLaMA-3.2-1B,GA,forget05,retain,0.2764,+0.2370,0.5959
LLaMA-3.2-1B,GA,forget05,forget,0.0452,+0.0058,0.0776
LLaMA-3.2-1B,GA,forget05,forget_retain,0.4184,+0.3790,0.5923
LLaMA-3.2-1B,GA,forget10,pure,0.0325,,0.0000
LLaMA-3.2-1B,GA,forget10,retain,0.3918,+0.3593,0.5961
LLaMA-3.2-1B,GA,forget10,forget,0.1043,+0.0717,0.4072
LLaMA-3.2-1B,GA,forget10,forget_retain,0.4859,+0.4534,0.6010
LLaMA-3.2-1B,GradDiff,forget01,pure,0.1781,,0.5866
LLaMA-3.2-1B,GradDiff,forget01,retain,0.2403,+0.0622,0.6022
LLaMA-3.2-1B,GradDiff,forget01,forget,0.3040,+0.1259,0.6008
LLaMA-3.2-1B,GradDiff,forget01,forget_retain,0.3480,+0.1699,0.5985
LLaMA-3.2-1B,GradDiff,forget05,pure,0.1077,,0.4670
LLaMA-3.2-1B,GradDiff,forget05,retain,0.2578,+0.1501,0.6023
LLaMA-3.2-1B,GradDiff,forget05,forget,0.1737,+0.0659,0.5775
LLaMA-3.2-1B,GradDiff,forget05,forget_retain,0.4622,+0.3544,0.6014
LLaMA-3.2-1B,GradDiff,forget10,pure,0.0821,,0.4416
LLaMA-3.2-1B,GradDiff,forget10,retain,0.2706,+0.1885,0.6017
LLaMA-3.2-1B,GradDiff,forget10,forget,0.3154,+0.2332,0.5952
LLaMA-3.2-1B,GradDiff,forget10,forget_retain,0.5117,+0.4296,0.5999
LLaMA-3.2-1B,NPO,forget01,pure,0.1814,,0.5951
LLaMA-3.2-1B,NPO,forget01,retain,0.1481,-0.0334,0.6002
LLaMA-3.2-1B,NPO,forget01,forget,0.2917,+0.1103,0.5928
LLaMA-3.2-1B,NPO,forget01,forget_retain,0.2599,+0.0785,0.5998
LLaMA-3.2-1B,NPO,forget05,pure,0.1014,,0.4637
LLaMA-3.2-1B,NPO,forget05,retain,0.2120,+0.1106,0.6001
LLaMA-3.2-1B,NPO,forget05,forget,0.1348,+0.0333,0.5045
LLaMA-3.2-1B,NPO,forget05,forget_retain,0.3389,+0.2374,0.5995
LLaMA-3.2-1B,NPO,forget10,pure,0.0956,,0.4023
LLaMA-3.2-1B,NPO,forget10,retain,0.2852,+0.1896,0.6088
LLaMA-3.2-1B,NPO,forget10,forget,0.1644,+0.0688,0.5437
LLaMA-3.2-1B,NPO,forget10,forget_retain,0.3955,+0.2999,0.6005
LLaMA-3.2-1B,RMU,forget01,pure,0.1504,,0.5556
LLaMA-3.2-1B,RMU,forget01,retain,0.4331,+0.2827,0.6035
LLaMA-3.2-1B,RMU,forget01,forget,0.4850,+0.3347,0.5870
LLaMA-3.2-1B,RMU,forget01,forget_retain,0.7923,+0.6420,0.6010
LLaMA-3.2-1B,RMU,forget05,pure,0.1083,,0.5506
LLaMA-3.2-1B,RMU,forget05,retain,0.5124,+0.4041,0.6024
LLaMA-3.2-1B,RMU,forget05,forget,0.3562,+0.2479,0.5766
LLaMA-3.2-1B,RMU,forget05,forget_retain,0.7332,+0.6249,0.6001
LLaMA-3.2-1B,RMU,forget10,pure,0.0561,,0.5769
LLaMA-3.2-1B,RMU,forget10,retain,0.2911,+0.2349,0.5992
LLaMA-3.2-1B,RMU,forget10,forget,0.4196,+0.3634,0.5742
LLaMA-3.2-1B,RMU,forget10,forget_retain,0.7005,+0.6443,0.6005
LLaMA-3.2-1B,SP,forget01,pure,0.0787,,0.4562
LLaMA-3.2-1B,SP,forget01,retain,0.1040,+0.0253,0.4949
LLaMA-3.2-1B,SP,forget01,forget,0.1514,+0.0728,0.4652
LLaMA-3.2-1B,SP,forget01,forget_retain,0.1503,+0.0716,0.4940
LLaMA-3.2-1B,SP,forget05,pure,0.1629,,0.5036
LLaMA-3.2-1B,SP,forget05,retain,0.2098,+0.0469,0.5349
LLaMA-3.2-1B,SP,forget05,forget,0.2345,+0.0716,0.5130
LLaMA-3.2-1B,SP,forget05,forget_retain,0.2846,+0.1218,0.5324
LLaMA-3.2-1B,SP,forget10,pure,0.1309,,0.4990
LLaMA-3.2-1B,SP,forget10,retain,0.1999,+0.0691,0.5335
LLaMA-3.2-1B,SP,forget10,forget,0.2130,+0.0822,0.5134
LLaMA-3.2-1B,SP,forget10,forget_retain,0.2752,+0.1444,0.5347
LLaMA-3.2-1B,FRP,forget01,pure,0.0364,,0.3442
LLaMA-3.2-1B,FRP,forget01,retain,0.0519,+0.0154,0.4453
LLaMA-3.2-1B,FRP,forget01,forget,0.0411,+0.0047,0.3687
LLaMA-3.2-1B,FRP,forget01,forget_retain,0.0710,+0.0345,0.4394
LLaMA-3.2-1B,FRP,forget05,pure,0.0672,,0.3987
LLaMA-3.2-1B,FRP,forget05,retain,0.0856,+0.0184,0.4639
LLaMA-3.2-1B,FRP,forget05,forget,0.0805,+0.0133,0.4201
LLaMA-3.2-1B,FRP,forget05,forget_retain,0.1200,+0.0528,0.4601
LLaMA-3.2-1B,FRP,forget10,pure,0.0624,,0.4079
LLaMA-3.2-1B,FRP,forget10,retain,0.0996,+0.0372,0.4818
LLaMA-3.2-1B,FRP,forget10,forget,0.0899,+0.0275,0.4318
LLaMA-3.2-1B,FRP,forget10,forget_retain,0.1214,+0.0590,0.4881
LLaMA-3.2-1B,FRP-RV(p=0.15),forget01,pure,0.0734,,0.4706
LLaMA-3.2-1B,FRP-RV(p=0.15),forget01,retain,0.0741,+0.0007,0.5047
